key_cat_primary_agg,Spiritual & Existential Crisis,Stress Management,Underachievement & Stalled Potential,"Identity, Self-Image & Belonging",Confidence & Assertiveness Issues,Mental & Emotional Health,Finding Meaning in Metaphysics,Life Direction & Motivation,Interpersonal & Family Dynamics,Structural & Physical Challenges
year_bin_5yr,key_cat_primary (Count All),,,,,,,,,
0_0_pre-1855,100.00%,,,,,,,,,
0_pre-1855,,,,,,100.00%,,,,
1855-1859,100.00%,,,,,,,,,
1860-1864,,50.00%,,,50.00%,,,,,
1870-1874,100.00%,,,,,,,,,
1875-1879,50.00%,25.00%,,,,,,25.00%,,
1880-1884,,,,,,,,100.00%,,
1885-1889,50.00%,,,,50.00%,,,,,
1890-1894,50.00%,,,,25.00%,,25.00%,,,
1895-1899,57.14%,,7.14%,7.14%,21.43%,,7.14%,,,
1900-1904,29.03%,3.23%,16.13%,3.23%,6.45%,12.90%,22.58%,6.45%,,
1905-1909,44.44%,7.41%,3.70%,,7.41%,,18.52%,7.41%,3.70%,7.41%
1910-1914,32.00%,4.00%,8.00%,4.00%,12.00%,8.00%,24.00%,,8.00%,
1915-1919,25.00%,12.50%,37.50%,,12.50%,,12.50%,,,
1920-1924,36.00%,12.00%,12.00%,4.00%,12.00%,12.00%,8.00%,4.00%,,
1925-1929,26.32%,5.26%,21.05%,,,5.26%,15.79%,10.53%,,15.79%
1930-1934,56.25%,18.75%,6.25%,6.25%,,,6.25%,6.25%,,
1935-1939,23.08%,,3.85%,3.85%,19.23%,11.54%,15.38%,11.54%,3.85%,7.69%
1940-1944,40.00%,4.00%,20.00%,,,,32.00%,4.00%,,
1945-1949,44.83%,,3.45%,,17.24%,13.79%,6.90%,,6.90%,6.90%
1950-1954,33.93%,12.50%,12.50%,1.79%,12.50%,3.57%,14.29%,5.36%,,3.57%
1955-1959,27.87%,14.75%,16.39%,,9.84%,3.28%,14.75%,3.28%,3.28%,6.56%
1960-1964,43.84%,8.22%,5.48%,4.11%,8.22%,10.96%,10.96%,,6.85%,1.37%
1965-1969,41.24%,10.31%,8.25%,3.09%,5.15%,9.28%,10.31%,4.12%,6.19%,2.06%
1970-1974,34.50%,4.68%,8.19%,6.43%,4.09%,11.11%,18.13%,2.92%,6.43%,3.51%
1975-1979,29.23%,9.86%,8.10%,8.10%,9.15%,9.86%,13.38%,3.17%,7.39%,1.76%
1980-1984,26.12%,7.96%,7.46%,8.21%,9.70%,8.46%,11.94%,5.72%,10.20%,4.23%
1985-1989,22.73%,8.33%,10.30%,6.36%,9.09%,11.21%,16.36%,5.00%,6.82%,3.79%
1990-1994,28.66%,10.62%,8.97%,7.23%,6.32%,10.26%,12.00%,5.40%,7.05%,3.48%
1995-1999,26.68%,11.87%,7.98%,6.99%,7.62%,10.14%,11.66%,4.88%,6.88%,5.30%
2000-2004,24.06%,10.40%,9.55%,9.94%,8.87%,9.94%,8.54%,7.26%,7.04%,4.40%
2005-2009,20.44%,13.30%,10.00%,10.54%,9.13%,8.78%,7.42%,8.22%,6.23%,5.93%
2010-2014,19.03%,15.89%,11.76%,11.41%,9.86%,8.29%,5.80%,8.18%,4.53%,5.26%
2015-2019,18.23%,19.27%,11.01%,11.40%,8.74%,8.21%,4.74%,9.07%,4.63%,4.70%
9_post-2014,28.57%,8.57%,8.57%,2.86%,14.29%,14.29%,,5.71%,8.57%,8.57%