methodology_clean,Anecdotal,Experiential,Research-based,Step-by-step,Theoretical,Grand Total
year_bin_5yr,tone_clean (Count All),,,,,
0_0_pre-1855,,100.00%,,,,100.00%
0_pre-1855,,100.00%,,,,100.00%
1855-1859,100.00%,,,,,100.00%
1860-1864,100.00%,,,,,100.00%
1870-1874,,100.00%,,,,100.00%
1875-1879,100.00%,,,,,100.00%
1880-1884,100.00%,,,,,100.00%
1885-1889,100.00%,,,,,100.00%
1890-1894,75.00%,,,25.00%,,100.00%
1895-1899,78.57%,21.43%,,,,100.00%
1900-1904,70.97%,25.81%,,3.23%,,100.00%
1905-1909,81.48%,18.52%,,,,100.00%
1910-1914,92.00%,8.00%,,,,100.00%
1915-1919,100.00%,,,,,100.00%
1920-1924,84.00%,16.00%,,,,100.00%
1925-1929,84.21%,10.53%,,5.26%,,100.00%
1930-1934,100.00%,,,,,100.00%
1935-1939,92.31%,7.69%,,,,100.00%
1940-1944,80.00%,16.00%,,,4.00%,100.00%
1945-1949,75.86%,13.79%,,6.90%,3.45%,100.00%
1950-1954,91.07%,8.93%,,,,100.00%
1955-1959,93.44%,6.56%,,,,100.00%
1960-1964,83.56%,16.44%,,,,100.00%
1965-1969,87.63%,10.31%,1.03%,,1.03%,100.00%
1970-1974,90.06%,9.36%,,,0.58%,100.00%
1975-1979,83.10%,14.08%,2.11%,0.70%,,100.00%
1980-1984,83.83%,15.42%,0.50%,0.25%,,100.00%
1985-1989,78.79%,19.24%,0.91%,1.06%,,100.00%
1990-1994,78.21%,19.96%,1.01%,0.73%,0.09%,100.00%
1995-1999,70.80%,27.05%,0.63%,1.31%,0.21%,100.00%
2000-2004,68.68%,29.21%,1.07%,0.86%,0.18%,100.00%
2005-2009,65.06%,32.83%,1.05%,0.96%,0.09%,100.00%
2010-2014,55.90%,41.99%,1.08%,0.95%,0.08%,100.00%
2015-2019,45.20%,52.42%,1.34%,0.97%,0.07%,100.00%
9_post-2014,57.14%,42.86%,,,,100.00%
Grand Total,61.95%,35.94%,1.05%,0.94%,0.11%,100.00%